Epic ID,Epic Name,Description,Priority,Estimated Effort,Dependencies
EP001,Note Management,Core note creation and management functionality,Critical,34 story points,None
EP002,Time-Based Features,Due date management and time-awareness functionality,Critical,21 story points,EP001
EP003,User Interface & Experience,Application interface design and user experience,High,26 story points,EP001
EP004,Data Management,Data persistence and application state management,High,18 story points,EP001
EP005,Application Foundation,Basic application setup and core infrastructure,Critical,13 story points,None

Story ID,Epic ID,Subject,Description,Acceptance Criteria,Definition of Done,Priority,Effort Points,Assignee,Status
US001,EP001,Note Creation,"As a note taker, I want to create notes with heading, sub-heading, and due date so that I can capture structured information quickly","AC01: User can enter a heading for the note; AC02: User can enter a sub-heading for the note; AC03: User can select a due date using a date picker; AC04: All three fields are required for note creation; AC05: Created note appears in the note list immediately","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","Critical",5,TBD,Not Started
US002,EP001,Note Editing,"As a note taker, I want to edit existing notes so that I can update information as needed","AC01: User can modify the heading of an existing note; AC02: User can modify the sub-heading of an existing note; AC03: User can change the due date of an existing note; AC04: Changes are saved automatically or with explicit save action; AC05: Edited notes maintain their position in the list unless sorting changes","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","Critical",3,TBD,Not Started
US003,EP001,Note Display,"As a note taker, I want to view my notes as cards showing all key information so that I can quickly scan my notes","AC01: Notes are displayed as individual cards; AC02: Each card shows the heading prominently; AC03: Each card shows the sub-heading; AC04: Each card shows the due date; AC05: Cards are visually distinct and easy to read","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","High",3,TBD,Not Started
US004,EP001,Note Deletion,"As a note taker, I want to delete notes I no longer need so that my note list stays relevant","AC01: User can delete individual notes; AC02: Deletion requires confirmation to prevent accidental deletion; AC03: Deleted notes are removed from the list immediately; AC04: Deletion action is clearly accessible but not prominently placed","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","Medium,2,TBD,Not Started
US005,EP001,Note Validation,"As a note taker, I want the system to validate my input so that all notes have complete information","AC01: System prevents saving notes without heading; AC02: System prevents saving notes without sub-heading; AC03: System prevents saving notes without due date; AC04: Clear error messages guide user to complete missing fields; AC05: Validation occurs in real-time as user types","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","High",3,TBD,Not Started
US006,EP002,Due Date Calculation,"As a note taker, I want to see how many days until each note is due so that I can prioritize my tasks","AC01: System calculates days remaining until due date; AC02: Display shows 'Due in X days' for future dates; AC03: Display shows 'Due today' for current date; AC04: Display shows 'Overdue by X days' for past dates; AC05: Calculations update automatically as time passes","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","Critical",5,TBD,Not Started
US007,EP002,Overdue Highlighting,"As a note taker, I want overdue notes to be clearly visible so that I can address urgent items first","AC01: Overdue notes have distinct visual treatment (red highlighting); AC02: Overdue status is immediately recognizable; AC03: Overdue highlighting takes precedence over other visual states; AC04: Highlighting is accessible and WCAG compliant","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","Critical,3,TBD,Not Started
US008,EP002,Due Date Sorting,"As a note taker, I want to sort notes by due date so that I can see which items need attention first","AC01: User can toggle sorting between chronological and due date order; AC02: Due date sorting shows earliest due dates first; AC03: Overdue items appear at the top when sorting by due date; AC04: Sorting preference is maintained during session; AC05: Clear indication of current sorting method","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","High",5,TBD,Not Started
US009,EP002,Time Awareness Updates,"As a note taker, I want the due date status to update automatically so that I always see current information","AC01: Due date calculations refresh when app gains focus; AC02: Status updates occur at least daily when app is active; AC03: Notes transition from 'due in X days' to 'due today' to 'overdue' automatically; AC04: No manual refresh required for time-based updates","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","Medium,5,TBD,Not Started
US010,EP002,Default Date Handling,"As a note taker, I want sensible default dates so that note creation is quick and intuitive","AC01: New notes default to tomorrow's date; AC02: User can quickly adjust from default date; AC03: Date picker shows current date prominently; AC04: Most common date selections are easily accessible","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","Low,3,TBD,Not Started
US011,EP003,Responsive Design,"As a note taker, I want the app to work well on different screen sizes so that I can use it on any device","AC01: Layout adapts to mobile screen sizes (320px+); AC02: Layout adapts to tablet screen sizes (768px+); AC03: Layout adapts to desktop screen sizes (1024px+); AC04: Touch targets are appropriately sized for mobile; AC05: Text remains readable at all screen sizes","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","High,8,TBD,Not Started
US012,EP003,Loading States,"As a note taker, I want to see loading indicators so that I know the app is working when performing actions","AC01: Loading indicators appear during data operations; AC02: Loading states provide appropriate feedback for action duration; AC03: Loading indicators are accessible; AC04: User cannot perform conflicting actions during loading","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","Medium,3,TBD,Not Started
US013,EP003,Error Handling,"As a note taker, I want clear error messages so that I understand what went wrong and how to fix it","AC01: Error messages are human-readable and specific; AC02: Errors provide actionable guidance for resolution; AC03: Error states don't break the application flow; AC04: Users can recover from errors gracefully; AC05: Critical errors are logged for debugging","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","High,5,TBD,Not Started
US014,EP003,Accessibility Compliance,"As a note taker with accessibility needs, I want the app to be fully accessible so that I can use it effectively","AC01: All interactive elements are keyboard navigable; AC02: Screen reader compatibility for all content; AC03: Color contrast meets WCAG 2.1 AA standards; AC04: Focus indicators are clearly visible; AC05: Alternative text for non-text content","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","High,5,TBD,Not Started
US015,EP003,Visual Design System,"As a note taker, I want a consistent and polished interface so that the app is pleasant to use","AC01: Design follows Nagarro design token specifications; AC02: Consistent typography throughout application; AC03: Consistent color usage following brand guidelines; AC04: Consistent spacing and layout patterns; AC05: Professional and modern visual appearance","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","Medium,5,TBD,Not Started
US016,EP004,Local Data Persistence,"As a note taker, I want my notes to be saved automatically so that I don't lose my work","AC01: Notes are saved to local storage automatically; AC02: Data persists between browser sessions; AC03: No manual save action required; AC04: Data recovery mechanisms for corrupted storage; AC05: Performance optimized for large numbers of notes","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","Critical,8,TBD,Not Started
US017,EP004,Data Validation,"As a note taker, I want the system to maintain data integrity so that my notes are reliable","AC01: Data validation on all input fields; AC02: Sanitization of user input to prevent issues; AC03: Data type validation for dates and text; AC04: Graceful handling of invalid data; AC05: Data migration support for schema changes","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","High,5,TBD,Not Started
US018,EP004,Performance Optimization,"As a note taker, I want the app to perform well even with many notes so that it remains usable","AC01: App loads quickly with up to 1000 notes; AC02: Smooth scrolling and interactions with large note lists; AC03: Efficient rendering of note cards; AC04: Optimized search and sorting performance; AC05: Memory usage remains stable during extended use","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","Medium,5,TBD,Not Started
US019,EP005,Application Shell,"As a note taker, I want a basic application structure so that I can start using the core features","AC01: Basic HTML structure with semantic elements; AC02: CSS framework setup following design tokens; AC03: JavaScript module structure established; AC04: Basic routing if needed; AC05: Development environment configured","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","Critical,5,TBD,Not Started
US020,EP005,Technology Setup,"As a developer, I want the development environment configured so that I can build the application efficiently","AC01: Build system configured; AC02: Testing framework setup; AC03: Code linting and formatting tools configured; AC04: Development server setup; AC05: Deployment pipeline established","Development complete, unit tests written, integration tests pass, code reviewed, deployed to staging","Critical,8,TBD,Not Started
